q(1/Å),I0 (cts)
2.327366736977325,3187.3005
2.327656418309879,3190.0415
2.3279460819163154,3188.0708
2.328235727794429,3178.3396
2.328525355942014,3175.211
2.328814966356864,3174.5771
2.329104559036774,3171.4925
2.3293941339795383,3169.7194
2.329683691182952,3169.6261
2.3299732306448098,3174.529
2.330262752362907,3174.4257
2.3305522563350376,3173.4039
2.3308417425589987,3179.7455
2.331131211032585,3179.998
2.3314206617535906,3169.7231
2.331710094719814,3160.6716
2.331999509929049,3155.9276
2.3322889073790924,3154.2857
2.33257828706774,3157.3017
2.3328676489927878,3158.1029
2.3331569931520333,3154.0175
2.3334463195432718,3151.1262
2.3337356281643,3150.0926
2.334024919012915,3150.7668
2.334314192086915,3149.7332
2.3346034473840946,3146.5699
2.3348926849022527,3145.5588
2.335181904639186,3146.2109
2.3354711065926925,3149.1243
2.33576029076057,3147.5594
2.3360494571406143,3144.6546
2.3363386057306257,3145.4349
2.336627736528401,3143.4161
2.336916849531738,3140.3263
2.3372059447384355,3136.0122
2.337495022146293,3136.4602
2.337784081753106,3131.8442
2.338073123556677,3124.6823
2.3383621475548018,3120.5613
2.338651153745281,3118.6784
2.3389401421259137,3125.5697
2.3392291126944977,3133.302
2.339518065448834,3135.4378
2.339807000386721,3130.6475
2.3400959175059586,3124.2438
2.340384816804347,3113.0266
2.340673698279686,3111.0066
2.3409625619297745,3110.7173
2.3412514077524142,3112.068
2.3415402357454056,3113.6517
2.341829045906547,3119.305
2.342117838233642,3114.3961
2.3424066127244885,3112.5377
